"Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","PScore","CScore"
"White - Sparkling","White","Sparkling","750ml","SEK","350","350","1","1","0","1001","F. Bergeronneau-Marion Champagne Brut Blanc des Blancs Premier Cru","France, Champagne","F. Bergeronneau-Marion","Chardonnay","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","399","399","2","2","0","1001","F. Bergeronneau-Marion Champagne Grande R�serve","France, Champagne","F. Bergeronneau-Marion","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Fortified","White","Fortified","500ml","SEK","292","292","1","1","0","2018","Famille Mouss� Ratafia La Vie en Meunier","France, Champagne, Ratafia de Champagne","Famille Mouss�","Pinot Meunier","France","Champagne","Unknown","Ratafia de Champagne","9999","9999","",""
"Red","Red","Dry","750ml","SEK","319","319","2","2","0","2016","Giacomo Fenocchio Barolo","Italy, Piedmont, Langhe, Barolo","Giacomo Fenocchio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","330","330","1","1","0","1001","Fernand Hutasse Champagne Grand Cru Brut","France, Champagne, Champagne Grand Cru","Fernand Hutasse","Champagne Blend","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","349","349","1","1","0","2014","Nicolas Feuillatte Champagne Grand Cru Blanc de Blancs Mill�sim�","France, Champagne, Champagne Grand Cru","Nicolas Feuillatte","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"Red","Red","Dry","1.0L","SEK","300","300","2","2","0","2018","Fontanafredda Barolo Serralunga d'Alba","Italy, Piedmont, Langhe, Barolo","Fontanafredda","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","679","679","1","1","0","2018","Forget-Chemin Champagne Special Club","France, Champagne","Forget-Chemin","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"Red","Red","Dry","750ml","SEK","250","250","1","1","0","2017","Bruno Giacosa Nebbiolo d'Alba","Italy, Piedmont, Alba, Nebbiolo d'Alba","Bruno Giacosa","Nebbiolo","Italy","Piedmont","Alba","Nebbiolo d'Alba","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","473","473","1","1","0","2015","Gosset Champagne Brut Grand Mill�sime","France, Champagne","Gosset","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","471,5","471,5","2","2","0","1001","Gosset Champagne Brut Grande R�serve","France, Champagne","Gosset","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","561","561","1","1","0","1001","Gosset Champagne Grand Ros� Brut","France, Champagne","Gosset","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"Red","Red","Dry","750ml","SEK","259","259","2","2","0","2019","Elio Grasso Langhe Nebbiolo Gavarini","Italy, Piedmont, Langhe, Langhe DOC","Elio Grasso","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","549","549","1","1","0","2018","Grongnet Champagne Special Club","France, Champagne","Grongnet","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White","White","Dry","750ml","SEK","299","299","1","1","0","2021","Gut Oggau Theodora","Austria, Burgenland","Gut Oggau","White Blend","Austria","Burgenland","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","308","308","3","3","0","2015","Weingut Hanewald-Schwerdt Zweih�nder","Germany, Pfalz","Weingut Hanewald-Schwerdt","Red Bordeaux Blend","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","659","659","2","2","0","2021","Marc H�brart Champagne Premier Cru Special Club","France, Champagne, Champagne Premier Cru","Marc H�brart","Champagne Blend","France","Champagne","Unknown","Champagne Premier Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","649","649","1","1","0","2020","Marc H�brart Champagne Premier Cru Special Club","France, Champagne, Champagne Premier Cru","Marc H�brart","Champagne Blend","France","Champagne","Unknown","Champagne Premier Cru","9999","9999","",""
